,up,down,left,right
"(12, 17)",7.769591502724276e+288,-3068845683.0786943,-inf,-inf
"(12, 19)",1.6540494030130367e+283,-53720224449.67639,-inf,-inf
"(12, 21)",-385257639.76453424,2.389301833953664e+276,-inf,-inf
"(12, 25)",4.534788813549266e+262,-233943958.40348545,-inf,-inf
"(12, 27)",-376525062.2318796,2.4441078547023557e+264,-inf,-inf
"(12, 29)",9.607491922712492e+265,-838226416.5327474,-inf,-inf
"(12, 31)",-591093589.7016522,7.565978973815613e+245,-inf,-inf
"(12, 35)",7.458898688849216e+148,-34950642.30491956,-inf,-inf
"(12, 41)",-36900435.524872005,5.6536154963383956e+115,-inf,-inf
"(12, 49)",-178068044.52884924,1.1800123574588903e+127,-inf,-inf
"(12, 51)",4.9212934546768075e+122,-100054949.91891529,-inf,-inf
"(12, 55)",-161058870.7184016,1.0553690468225562e+119,-inf,-inf
"(12, 57)",-46114544.22461879,6.151364743211512e+140,-inf,-inf
"(12, 61)",4.4572393472738835e+143,-251586953.0713815,-inf,-inf
"(13, 1)",1.4689493767041208e+285,-62277268454.483765,-inf,-inf
"(13, 3)",-20686049278.142387,3.298505335767601e+286,-inf,-inf
"(13, 5)",1.9417384358376166e+281,-inf,-inf,-inf
"(13, 7)",5.8831802766727045e+287,-4474598394.698133,-inf,-inf
"(13, 9)",7.207050387207829e+271,1.824465830581982e+279,-inf,1.0295475055303452e+117
"(13, 10)",-inf,-inf,6.238939925089735e+279,-426836723.2491903
"(13, 11)",-568144137.2370251,-inf,2.0399029461296358e+280,-inf
"(13, 13)",-134160274.13247988,1.2625169662955676e+278,-inf,-inf
"(13, 15)",9.675086403382071e+268,-inf,-inf,-inf
"(13, 17)",3.7279452868763547e+288,7.800986001304211e+176,-inf,-inf
"(13, 19)",3.136520921447061e+282,-50904335952.10777,-inf,-inf
"(13, 21)",-482701581.7985568,-inf,-inf,2.7072452140657346e+276
"(13, 22)",-inf,-inf,-595402468.1332421,3.0354888456685524e+276
"(13, 23)",-inf,3.358950021924748e+276,-705531619.4288844,-inf
"(13, 25)",1.2753281654781824e+263,2.651069177565189e+241,-inf,-174872855.81483334
"(13, 26)",-inf,-inf,3.4792932968056177e+263,-231989257.2348227
"(13, 27)",-297432410.93053144,-inf,9.310641522459258e+263,-inf
"(13, 29)",2.2974240438519355e+266,-994541571.961954,-inf,-inf
"(13, 31)",-678076066.5453205,-inf,-inf,1.2189222492920405e+245
"(13, 32)",-inf,-inf,-716185591.8302656,1.891503297619348e+244
"(13, 33)",-inf,2.822914457028037e+243,-707076083.9434605,-inf
"(13, 35)",4.264545413464292e+149,-30401570.90608034,-inf,-30381377.71154097
"(13, 36)",-inf,-inf,1.2927176950573319e+150,-37264070.54006393
"(13, 37)",-inf,-inf,6.3236747563859534e+150,-44926065.064680144
"(13, 38)",-inf,-inf,3.354167455875432e+151,-53835164.35303863
"(13, 39)",-inf,-63731463.15582316,1.7638631183186636e+152,-inf
"(13, 41)",-31125221.11396238,-inf,-inf,5.284799129968775e+114
"(13, 42)",-inf,-inf,-24470424.125094514,4.858367708451954e+113
"(13, 43)",-inf,-inf,-20305979.71311049,4.391632363963468e+112
"(13, 44)",-inf,-inf,-15642096.563065618,3.902541106697452e+111
"(13, 45)",-inf,-inf,-13104255.829152131,3.408548626046523e+110
"(13, 46)",-inf,-inf,-10807528.66849018,2.925425541019484e+109
"(13, 47)",-inf,2.4666346094168343e+108,-9223915.499698251,-inf
"(13, 49)",-142685604.73108903,3.6124960373666495e+126,-inf,-inf
"(13, 51)",1.9028781501801727e+123,-88971387.77458328,-inf,-inf
"(13, 53)",-inf,6.039586711968051e+111,-inf,-inf
"(13, 55)",-167732233.11451855,2.4407218483825006e+118,-inf,-inf
"(13, 57)",-77195043.26006117,-77708701.086188,-inf,1.663999902630321e+142
"(13, 58)",-inf,-inf,-99550641.34575312,3.37469822255283e+142
"(13, 59)",-inf,-inf,-131504797.80926928,6.674513188276516e+142
"(13, 60)",-inf,-inf,-168548592.8178803,1.2880416915548322e+143
"(13, 61)",2.425237215060676e+143,-inf,-205747327.66160148,-inf
"(13, 63)",-inf,5.773562627836406e+112,-inf,-inf
"(14, 1)",8.071004299814431e+284,-78012746716.76945,-inf,-inf
"(14, 3)",-17559645278.93092,5.118960228609277e+286,-inf,-inf
"(14, 7)",4.4539545232702046e+287,-5602863600.328557,-inf,-inf
"(14, 9)",-424077485.8640578,4.976408912173565e+278,-inf,-inf
"(14, 13)",-131305555.16831732,1.6511957108522312e+279,-inf,-inf
"(14, 17)",1.6711625484256958e+288,-1972063244.042252,-inf,-inf
"(14, 19)",5.4190029515947164e+281,-46956017930.54606,-inf,-inf
"(14, 23)",-805478720.763826,3.679475765077314e+276,-inf,-inf
"(14, 25)",3.731368246052951e+261,-100249772.1318881,-inf,-inf
"(14, 29)",5.39633198215912e+266,-1197958478.594615,-inf,-inf
"(14, 33)",-649578930.0162042,4.0463302384757934e+242,-inf,-inf
"(14, 35)",1.1082959661815303e+150,-22268267.45398588,-inf,-inf
"(14, 39)",1.0072031398019172e+153,-74345310.55721661,-inf,-inf
"(14, 47)",-8461266.89846903,2.0427623289164126e+107,-inf,-inf
"(14, 49)",-119054892.51406504,1.0888538096146509e+126,-inf,-inf
"(14, 51)",7.243654492062722e+123,-80006601.43829101,-inf,-inf
"(14, 53)",-4022787.6691760537,3.862707604197359e+113,-inf,-inf
"(14, 55)",-176885842.37896746,5.553395595169044e+117,-inf,-inf
"(14, 57)",7.381125606204542e+141,-98937637.144192,-inf,-inf
"(14, 63)",-14770767.962045273,8.073704207594708e+114,-inf,-inf
"(15, 1)",4.354428296130892e+284,-96481463620.0656,-inf,-inf
"(15, 3)",-14801624178.0507,-inf,-inf,7.774547902176217e+286
"(15, 4)",-inf,-inf,-11762214132.363802,1.154458146110716e+287
"(15, 5)",-inf,-inf,-9617122081.595083,1.6740647567225035e+287
"(15, 6)",-inf,-inf,-8092946964.098613,2.3752036788134512e+287
"(15, 7)",3.289714936621365e+287,-inf,-6725134667.733604,-inf
"(15, 9)",-556060078.9885368,1.293553944579298e+278,-inf,-inf
"(15, 11)",-inf,-inf,-inf,4.114879170456461e+276
"(15, 12)",-inf,-inf,-72141175.85081998,4.02186245440701e+278
"(15, 13)",-115297703.95744492,1.823239067853795e+280,7.109773755890536e+254,-inf
"(15, 15)",-inf,-949376390.6416048,-inf,1.022354739924958e+287
"(15, 16)",-inf,-inf,-1213896577.0147755,2.7759884800449877e+287
"(15, 17)",7.039880315809883e+287,-inf,-1550666939.1179018,-inf
"(15, 19)",8.512465406865975e+280,-42319052054.16238,-inf,-inf
"(15, 21)",-inf,6.347742246175465e+267,-inf,-inf
"(15, 23)",-856447608.9432547,3.986296576940346e+276,-inf,-inf
"(15, 25)",6.69405290896786e+259,-inf,-inf,-60910634.374424666
"(15, 26)",-inf,-inf,8.239215314697672e+257,-37452947.69869946
"(15, 27)",-inf,-inf,5.537474939149318e+255,-inf
"(15, 29)",1.2450195044957058e+267,1.1701724467413064e+215,-inf,-inf
"(15, 31)",-inf,3.3665105777011023e+230,-inf,-inf
"(15, 33)",-560897231.1481576,5.56217935707443e+241,-inf,-inf
"(15, 35)",1.706891168893354e+150,-17589487.231738638,-inf,-inf
"(15, 37)",-inf,1.043342816845334e+147,-inf,-inf
"(15, 39)",5.6822975967835816e+153,-84676543.43231143,-inf,-inf
"(15, 41)",-inf,1.3301277038283422e+95,-inf,-748369.5333377288
"(15, 42)",-inf,-inf,4.842812053482519e+93,-577469.3235596224
"(15, 43)",-inf,-inf,8.746423190416023e+91,-inf
"(15, 45)",-inf,1.0390995470464044e+104,-inf,-4861880.212665478
"(15, 46)",-inf,-inf,1.326163082771665e+105,-6148945.09475448
"(15, 47)",-7352863.669454166,-inf,1.6611647887343704e+106,-inf
"(15, 49)",-98373080.12141988,-inf,-inf,3.2312516174659208e+125
"(15, 50)",-inf,-inf,-82495007.85808691,9.43984412232063e+124
"(15, 51)",2.7147282862225345e+124,-73710309.82470874,-73434469.19698462,-inf
"(15, 53)",-5977080.627734035,1.2178847446826663e+115,-inf,-inf
"(15, 55)",-188908577.54556584,1.2430092326126366e+117,-inf,-inf
"(15, 57)",3.185162286389532e+141,-123073162.27862205,-inf,-inf
"(15, 59)",-inf,-inf,-inf,3.6265418044927178e+109
"(15, 60)",-inf,-inf,-10905502.257077023,5.138184963601805e+111
"(15, 61)",-inf,-inf,-14349403.58672881,3.54585672654543e+113
"(15, 62)",-inf,-inf,-17880090.324095506,1.6129391297194792e+115
"(15, 63)",-20676763.10864505,5.434025536173007e+116,-20726099.724812884,-inf
"(16, 1)",2.2915855390080532e+284,-116916043561.73792,-inf,-inf
"(16, 9)",-720665716.4842117,3.198446251016637e+277,-inf,-inf
"(16, 13)",-156059862.01521662,1.435397663774712e+281,-inf,-inf
"(16, 15)",3.526747434932651e+286,-736056858.786881,-inf,-inf
"(16, 19)",1.2103436162215733e+280,-37108116616.25815,-inf,-inf
"(16, 21)",-75714378.46848711,2.3361579082161167e+270,-inf,-inf
"(16, 23)",-828540161.1254845,4.2773047732170367e+276,-inf,-inf
"(16, 29)",2.8244331685681e+267,-1715998320.971946,-inf,-inf
"(16, 31)",-28377097.54848944,2.0326940445917998e+232,-inf,-inf
"(16, 33)",-462208156.6445767,7.32072174787184e+240,-inf,-inf
"(16, 35)",1.650229309734638e+150,-13931222.557010625,-inf,-inf
"(16, 37)",-3415952.121288355,1.6189143050583147e+148,-inf,-inf
"(16, 39)",3.1678354131612895e+154,-97312429.72686464,-inf,-inf
"(16, 41)",-946021.9617581286,2.4309406857340434e+96,-inf,-inf
"(16, 45)",-3837753.710184921,7.988831661235693e+102,-inf,-inf
"(16, 51)",5.778836243985913e+123,-62243036.286529325,-inf,-inf
"(16, 53)",-8683566.428957306,2.5285882893935648e+116,-inf,-inf
"(16, 55)",-197844413.66247007,2.736649186020376e+116,-inf,-inf
"(16, 57)",1.3368274962571415e+141,-146297063.30006593,-inf,-inf
"(16, 63)",-32245255.072527826,1.0407996473118563e+118,-inf,-inf
"(17, 1)",1.1813260733273394e+284,-inf,-inf,-136642060136.91682
"(17, 2)",-inf,-inf,5.938276034051025e+283,1.3983758440568783e+194
"(17, 3)",-inf,-inf,2.923857531657841e+283,-187777775293.2936
"(17, 4)",-inf,-inf,1.409290724863801e+283,-215025234394.79227
"(17, 5)",-inf,-inf,6.630028212793524e+282,-244211695330.154
"(17, 6)",-inf,-inf,3.0553593333520423e+282,-273602585411.9665
"(17, 7)",-inf,-308273157269.8105,1.378850488546306e+282,-inf
"(17, 9)",-922486152.317186,-inf,-inf,7.506814382768289e+276
"(17, 10)",-inf,-inf,-1164602402.116061,1.6690048387503926e+276
"(17, 11)",-inf,3.505465144816946e+275,-1450617933.1436076,-inf
"(17, 13)",5.636059415017122e+150,1.0144852012945688e+282,-inf,-inf
"(17, 15)",1.1359635875012637e+286,-549541970.5963943,-inf,-inf
"(17, 17)",-inf,4.90004687199807e+278,-inf,-inf
"(17, 19)",1.542346080455445e+279,-32900698572.15159,-inf,-inf
"(17, 21)",-117871300.3584634,5.340779278037863e+272,-inf,-inf
"(17, 23)",-730353859.1981281,4.523055244837103e+276,-inf,-inf
"(17, 25)",-inf,-1003963791.0907614,-inf,2.1117541956762466e+270
"(17, 26)",-inf,-inf,-1202439797.16591,1.0810463758186776e+270
"(17, 27)",-inf,5.441081430581288e+269,-1439026714.8456695,-inf
"(17, 29)",6.295707048165867e+267,-1968176888.5192835,-inf,-inf
"(17, 31)",-46068385.81933504,5.9206506441427545e+233,-inf,-inf
"(17, 33)",-376666039.23132646,9.209940973031112e+239,-inf,-inf
"(17, 35)",1.036615093349e+150,-inf,-inf,-10944466.86008341
"(17, 36)",-inf,-inf,4.2435199397142265e+149,-7734193.738083414
"(17, 37)",-5121255.996465432,-inf,1.0954749074550277e+149,-inf
"(17, 39)",1.745255369960277e+155,-103998586.39615852,-inf,-inf
"(17, 41)",-1215678.3521275038,-inf,-inf,3.31452420141738e+97
"(17, 42)",-inf,-inf,-1431162.0933183108,3.601648112695705e+98
"(17, 43)",-inf,3.231287118106897e+99,-2021420.9458555456,-2056374.1542718224
"(17, 44)",-inf,-inf,4.4561890611087065e+100,-2642732.0717654186
"(17, 45)",-3134543.039729977,-inf,6.025024999430991e+101,-inf
"(17, 47)",-inf,2.066626463848185e+97,-inf,-28036267.10315988
"(17, 48)",-inf,-inf,1.5371721237984273e+98,-32515001.41474476
"(17, 49)",-inf,-36936900.38700589,1.1208125434272322e+99,-inf
"(17, 51)",1.113872139629685e+123,-52947399.72951716,-inf,-inf
"(17, 53)",-12216709.435437342,3.892051409254335e+117,-inf,-inf
"(17, 55)",-192880601.2458704,5.926216653451856e+115,-inf,-inf
"(17, 57)",5.453991219807798e+140,-inf,-inf,-155549124.63721856
"(17, 58)",-inf,-inf,2.161335250029569e+140,-155159172.88413706
"(17, 59)",-inf,-inf,8.317757541287734e+139,-137805300.47579506
"(17, 60)",-inf,-inf,3.105778268354129e+139,-114767191.01661736
"(17, 61)",-inf,-97645968.25815584,1.1253397398943396e+139,-inf
"(17, 63)",-48307175.70190854,1.735327034070656e+119,-inf,-inf
"(18, 7)",6.082046780428923e+281,-341643468019.7852,-inf,-inf
"(18, 11)",-1754961217.3341494,6.93541720649484e+274,-inf,-inf
"(18, 13)",-241525967.35845068,6.468424318780396e+282,-inf,-inf
"(18, 15)",3.4132639164550373e+285,-391290972.1582118,-inf,-inf
"(18, 17)",-74072450.97581874,4.317842799369236e+280,-inf,-inf
"(18, 19)",1.7405109326343047e+278,-28427457569.3237,-inf,-inf
"(18, 21)",-189882954.1709092,6.81766961455284e+274,-inf,-inf
"(18, 23)",-621444909.378784,4.735539359402457e+276,-inf,-inf
"(18, 25)",4.063400807561304e+270,-819128136.3666,-inf,-inf
"(18, 27)",-1679049471.7063153,2.695542638346621e+269,-inf,-inf
"(18, 29)",1.3802220787625777e+268,-2182324503.672884,-inf,-inf
"(18, 31)",-73490252.94809213,1.0956539707892895e+235,-inf,-inf
"(18, 33)",-305206230.4503353,1.1052717735961954e+239,-inf,-inf
"(18, 39)",9.502712421424676e+155,-107303657.5336346,-inf,-inf
"(18, 43)",-2248725.8902235306,2.278340802383276e+98,-inf,-inf
"(18, 47)",-22877557.307445843,2.723049568767068e+96,-inf,-inf
"(18, 49)",8.012523399080424e+99,-39950732.456915244,-inf,-inf
"(18, 51)",1.9298746055701346e+122,-43831733.21522121,-inf,-inf
"(18, 53)",-15822552.759055365,4.734273832643987e+118,-inf,-inf
"(18, 55)",-169182836.83490247,1.2620190668345171e+115,-inf,-inf
"(18, 61)",3.954247792019709e+138,-80974183.94228783,-inf,-inf
"(18, 63)",-71363141.48870301,2.5590119476021808e+120,-inf,-inf
"(19, 1)",-inf,-49287977489.48297,-inf,1.3022034853519983e+273
"(19, 2)",-inf,-inf,-56487853962.11313,4.605601701282104e+273
"(19, 3)",-inf,-inf,-67963299854.125,1.5885542884113304e+274
"(19, 4)",-inf,-inf,-78378396640.61308,5.329036794576168e+274
"(19, 5)",-inf,1.7487525728486594e+275,-92193431847.8925,-inf
"(19, 7)",2.615154282167224e+281,-inf,-inf,-370574072425.2305
"(19, 8)",-inf,-inf,1.1011489360185029e+281,-388691709697.4377
"(19, 9)",-inf,-376661409629.16864,4.528275389125917e+280,-inf
"(19, 11)",-2085631989.2466967,1.2886192592448238e+274,-inf,-inf
"(19, 13)",-277324265.0425333,-inf,-inf,3.7462666185610655e+283
"(19, 14)",-inf,-inf,-287622118.65660626,1.97519650062526e+284
"(19, 15)",9.530459872971385e+284,-inf,-273061041.1205741,1.6190318636391266e+105
"(19, 16)",-inf,-inf,4.928116388060153e+283,-175233943.79096866
"(19, 17)",-113875286.9246928,-inf,1.8050904986357765e+282,-inf
"(19, 19)",1.7281098194794255e+277,-24139930349.20609,-inf,-inf
"(19, 21)",3.2495059075974333e+193,5.040041866496623e+276,-inf,-315272574.5708987
"(19, 22)",-inf,-inf,4.987039036745899e+276,-405087100.55839545
"(19, 23)",-511262164.3557941,-inf,4.889946300797905e+276,-inf
"(19, 25)",7.696807774592785e+270,-663573053.3269463,-inf,-inf
"(19, 27)",-1946307116.8271887,-inf,-inf,1.314103137074067e+269
"(19, 28)",-inf,-inf,-2167113247.8966217,6.3046173449838696e+268
"(19, 29)",2.974496048841452e+268,-inf,-2294229642.953917,-inf
"(19, 31)",-113716245.20877846,-inf,-inf,1.4765867731795083e+236
"(19, 32)",-inf,-inf,-164608246.9685726,1.5155956905649488e+237
"(19, 33)",-245324935.97826493,-inf,2.696330353599191e+226,1.2623561931100728e+238
"(19, 34)",-inf,-inf,-290780492.7641743,1.3510933462717797e+237
"(19, 35)",-inf,-inf,-347197162.6717395,1.3702829720405618e+236
"(19, 36)",-inf,-inf,-399813241.1110375,1.3134519009279336e+235
"(19, 37)",-inf,1.1862089933697545e+234,-458597749.4341304,-inf
"(19, 39)",5.113835567193759e+156,-102841974.458973,-inf,-103818385.78038593
"(19, 40)",-inf,-inf,2.670378976658682e+157,-119309707.3307652
"(19, 41)",-inf,-141681455.93241397,1.3781829623503718e+158,-inf
"(19, 43)",-2486536.8512887075,-inf,-inf,1.5741826365238548e+97
"(19, 44)",-inf,-inf,-2652534.188533016,1.0654707208903639e+96
"(19, 45)",-inf,7.062043213468009e+94,-2678687.155396405,-inf
"(19, 47)",-20601746.331473324,3.515594874195933e+95,-inf,-inf
"(19, 49)",5.6172901121322736e+100,-40211042.82492336,-inf,-inf
"(19, 51)",2.9794462089297474e+121,-inf,-inf,-35029501.77606492
"(19, 52)",-inf,-inf,4.043808511353239e+120,-26330472.26483273
"(19, 53)",-20742803.779094785,-inf,4.751139971811395e+119,-inf
"(19, 55)",-146602255.77883726,2.64275869876532e+114,-inf,-inf
"(19, 57)",-inf,-inf,-inf,2.0122665378579988e+133
"(19, 58)",-inf,-inf,-23843120.353024032,2.416493995421e+135
"(19, 59)",-inf,-40579523.22297452,-40326746.09938335,1.4154946061806989e+137
"(19, 60)",-inf,-inf,-50511954.1249823,4.437260745194134e+137
"(19, 61)",1.34608025712622e+138,-inf,-62930232.51430415,-inf
"(19, 63)",-97619193.93361324,3.369614076450613e+121,-inf,-inf
"(20, 1)",3.5980070599788073e+272,-42598991420.827965,-inf,-inf
"(20, 5)",-105204172253.65616,5.626523583619597e+275,-inf,-inf
"(20, 9)",1.820103855104314e+280,-350100010457.87823,-inf,-inf
"(20, 11)",-2418503099.874768,2.242279241825483e+273,-inf,-inf
"(20, 19)",1.5034861980271504e+276,-20646915533.026623,-inf,-inf
"(20, 21)",-401952018.20424783,4.965600045491746e+276,-inf,-inf
"(20, 25)",1.4354441582655037e+271,-528857711.6054781,-inf,-inf
"(20, 37)",-490631093.9462513,1.005786724102524e+233,-inf,-inf
"(20, 39)",4.981295522014857e+155,-86260589.73736024,-inf,-inf
"(20, 41)",7.030992389289193e+158,-160451255.24934268,-inf,-inf
"(20, 45)",-2559590.0969491405,4.582258446830172e+93,-inf,-inf
"(20, 47)",-17462108.726890843,4.446310999946934e+94,-inf,-inf
"(20, 49)",3.862685600763641e+101,-39301650.66387648,-inf,-inf
"(20, 55)",-128132710.63575688,5.441333769468615e+113,-inf,-inf
"(20, 59)",4.1265869084026653e+136,-54435360.68597572,-inf,-inf
"(20, 63)",-131206570.41313542,4.0100382169343276e+122,-inf,-inf
"(21, 1)",9.683563643224786e+271,-inf,-inf,-36458666773.37646
"(21, 2)",-inf,-inf,2.5461222039062624e+271,-31850297581.9654
"(21, 3)",-inf,-27740974977.8592,6.521345431109287e+270,-inf
"(21, 5)",-119682436049.13802,1.7676336664563774e+276,-inf,-inf
"(21, 7)",-inf,-247249748801.4852,-inf,1.0364830925495173e+279
"(21, 8)",-inf,-inf,-280930893270.9036,2.7541389558226293e+279
"(21, 9)",7.155526161899824e+279,-inf,-311074922481.90045,-inf
"(21, 11)",1.4150504167000352e+92,-inf,-inf,3.637946371430415e+272
"(21, 12)",-inf,-inf,-2641400573.301675,5.4793371958764214e+271
"(21, 13)",-inf,-inf,-2433268237.734154,7.622261930956327e+270
"(21, 14)",-inf,-inf,-2089281059.65242,9.734087561026435e+269
"(21, 15)",-inf,1.1334169946261727e+269,-1735716309.877272,-inf
"(21, 17)",-inf,-12783283832.260525,-inf,3.496555017231546e+272
"(21, 18)",-inf,-inf,-14857919180.158297,6.883513512901125e+273
"(21, 19)",1.1140440436025285e+275,-inf,-17466256139.783443,-inf
"(21, 21)",6.501548130390514e+174,-inf,-inf,4.835046244706273e+276
"(21, 22)",-inf,-inf,-569507813.9453636,4.654695111975031e+276
"(21, 23)",-inf,4.4268782622477764e+276,-633966178.2983521,-inf
"(21, 25)",2.638737715168629e+271,-inf,-inf,-416548921.3068373
"(21, 26)",-inf,-inf,4.777160955115044e+271,-327592277.21077627
"(21, 27)",-inf,-inf,8.519586730089536e+271,-249559005.2861758
"(21, 28)",-inf,-inf,1.4964819772058902e+272,-184765681.67652032
"(21, 29)",-inf,9.651152193276839e+239,2.588132932309541e+272,-131194888.63592584
"(21, 30)",-inf,-inf,4.391268471739464e+272,-153598322.75669703
"(21, 31)",-inf,-164205029.54252198,7.344182457336248e+272,-inf
"(21, 33)",-inf,8.182033831239747e+223,-inf,-43588536.95929169
"(21, 34)",-inf,-inf,4.910512174937882e+222,-27608406.93419538
"(21, 35)",-inf,-inf,1.3805211589078063e+221,-inf
"(21, 37)",-465561143.8045394,7.97575125360188e+231,-inf,-inf
"(21, 39)",4.4373011177175615e+154,-74908148.22669578,-inf,-inf
"(21, 41)",3.54593932013107e+159,-169052449.0095969,-inf,-inf
"(21, 43)",-inf,3.876572261339821e+84,-inf,-inf
"(21, 45)",-2278079.927031014,2.9095424369014547e+92,-inf,-inf
"(21, 47)",-13457371.877250258,5.50748619297752e+93,-inf,-inf
"(21, 49)",2.60577563979958e+102,-inf,-inf,-37561123.73013641
"(21, 50)",-inf,-inf,1.724846279388946e+103,-35908312.98648
"(21, 51)",-inf,-inf,1.1204848600866575e+104,-34415906.685459904
"(21, 52)",-inf,-inf,7.14448643537235e+104,-32078575.07570565
"(21, 53)",-inf,-28207374.273541257,4.472225525453992e+105,-inf
"(21, 55)",-104707296.7946292,-inf,-inf,1.1014590061251309e+113
"(21, 56)",-inf,-inf,-91060778.75014342,2.1917734856736306e+112
"(21, 57)",-inf,4.286798149677615e+111,-76053408.68623026,-inf
"(21, 59)",1.1591190145251188e+136,-66994137.09996171,-inf,-inf
"(21, 61)",-inf,3.9708416108628736e+125,-inf,-238860321.12909663
"(21, 62)",-inf,-inf,4.325241750369991e+124,-202473246.5579052
"(21, 63)",-168573253.39378116,-inf,4.34845574505802e+123,-inf
"(22, 3)",1.6207378336421434e+270,1.7825611814216144e+186,-inf,-inf
"(22, 5)",-136642054034.88203,5.426191892399486e+276,-inf,-inf
"(22, 7)",3.8063128771024565e+278,-217505775762.36505,-inf,-inf
"(22, 15)",1.6733598076242106e+259,1.1934948888566369e+268,-inf,-inf
"(22, 17)",1.3788148793321823e+271,-10925641903.137083,-inf,-inf
"(22, 23)",-639736841.8049561,4.1633682605629846e+276,-inf,-inf
"(22, 29)",2.266831567036107e+270,-78403270.35160518,-inf,-inf
"(22, 31)",1.2108405164286028e+273,-159534386.13185084,-inf,-inf
"(22, 33)",9.76606320558386e+210,8.541970602947149e+224,-inf,-inf
"(22, 37)",-411651440.1921293,5.8890010190113525e+230,-inf,-inf
"(22, 39)",3.5662385488265884e+153,-63021970.24105223,-inf,-inf
"(22, 41)",1.7678825858957098e+160,-159616835.84340855,-inf,-inf
"(22, 43)",-485131.67045756686,1.722899860412516e+86,-inf,-inf
"(22, 45)",-1949388.3201231733,1.8072091467391544e+91,-inf,-inf
"(22, 47)",-10324105.843179226,6.679738583118924e+92,-inf,-inf
"(22, 53)",2.7487321414945102e+106,-25213511.18356511,-inf,-inf
"(22, 57)",-64818532.00309595,8.23996518843426e+110,-inf,-inf
"(22, 59)",3.138279282748509e+135,-80373285.26280923,-inf,-inf
"(22, 61)",-277924901.261897,3.3811685833195526e+126,-inf,-inf
"(23, 1)",-inf,-13516878471.027792,-inf,2.159599788253112e+268
"(23, 2)",-inf,-inf,-16202637094.148684,9.376099648687983e+268
"(23, 3)",3.943047465485647e+269,-inf,-19598213982.95487,-inf
"(23, 5)",-154870084403.9083,-inf,-inf,1.6234441176586561e+277
"(23, 6)",-inf,-inf,-173397644881.5362,4.7629423401214635e+277
"(23, 7)",1.3650862687634978e+278,-inf,-194271228997.79163,-inf
"(23, 9)",-inf,4.693109191697055e+255,-inf,-6929684596.995208
"(23, 10)",-inf,-inf,4.64359980998163e+254,-8582403566.602374
"(23, 11)",-inf,-inf,4.4184293803109174e+253,-10551534241.902023
"(23, 12)",-inf,-inf,4.025166395421332e+252,-13084403656.966034
"(23, 13)",-inf,-15924204142.02788,3.475850192164048e+251,-inf
"(23, 15)",-1177086209.439905,1.1251502480340357e+267,-inf,-inf
"(23, 17)",3.94319240402392e+269,-inf,-inf,-9239421446.070663
"(23, 18)",-inf,-inf,7.446773313837768e+267,-7857619687.422776
"(23, 19)",-inf,-inf,6.750609889019318e+265,-6596438909.399132
"(23, 20)",-inf,-inf,1.3487389826458266e+257,-5455948903.654448
"(23, 21)",-inf,-4551628511.714432,4.4486099497210655e+256,-inf
"(23, 23)",-583413242.0539418,-inf,-inf,3.8720914725610555e+276
"(23, 24)",-inf,-inf,-511376028.5014252,3.5538350915597014e+276
"(23, 25)",-inf,-inf,-430559475.062068,3.22442057942959e+276
"(23, 26)",-inf,-inf,-350045890.0367837,2.8864505899429466e+276
"(23, 27)",-inf,2.558935002607817e+276,-280923691.94822353,-inf
"(23, 29)",9.760553360358368e+267,-inf,-inf,-inf
"(23, 31)",1.9660985999808096e+273,-141068401.35588425,-inf,-inf
"(23, 33)",-98073696.2924562,-inf,-inf,6.257142408033215e+225
"(23, 34)",-inf,-inf,-150461241.6515849,3.430526099988638e+226
"(23, 35)",-inf,1.4602395036581675e+227,1.9249942769124423e+220,2.4340224836607855e+217
"(23, 36)",-inf,-inf,2.5363115702456914e+228,-278665445.4660152
"(23, 37)",-338306167.9535901,-inf,4.027570350306718e+229,-inf
"(23, 39)",2.56817660154973e+152,-52022531.67495281,-inf,-inf
"(23, 41)",8.713937438361332e+160,-161497031.93548352,-inf,-inf
"(23, 43)",-800665.2079587799,3.7800323570155873e+87,-inf,-813141.3006585934
"(23, 44)",-inf,-inf,6.516576913269382e+88,-1100048.1961186586
"(23, 45)",-1460349.2891717714,-inf,1.0976507929706963e+90,-inf
"(23, 47)",-8022334.197365855,-inf,-inf,7.930573714844292e+91
"(23, 48)",-inf,-inf,-6546535.218306722,9.21456980472367e+90
"(23, 49)",-inf,1.0475193711158595e+90,-4794967.239953866,-inf
"(23, 51)",-inf,-14231857.073597748,-inf,8.679364494864816e+105
"(23, 52)",-inf,-inf,-16619727.290543305,4.030343264238859e+106
"(23, 53)",1.6590647729102477e+107,-inf,-21608719.52571905,-21629631.469650462
"(23, 54)",-inf,-inf,9.432235090051032e+107,-26205431.720101576
"(23, 55)",-inf,-inf,5.266601595984007e+108,-30557522.480972946
"(23, 56)",-inf,-inf,2.8885286586596185e+109,-40875685.37948676
"(23, 57)",-52917921.07179266,-inf,1.5564100847404944e+110,-inf
"(23, 59)",8.184791223160036e+134,-90949354.43988071,-inf,-inf
"(23, 61)",-295401188.7216286,-inf,-inf,2.684609412795685e+127
"(23, 62)",-inf,-inf,-305812465.7318785,1.9942476618628087e+128
"(23, 63)",-inf,1.390237941805423e+129,-288268027.19019884,-inf
"(24, 1)",4.878414023335146e+267,-11221356361.143969,-inf,-inf
"(24, 9)",-5523473331.388638,4.4730820258258356e+256,-inf,-inf
