,up,down,left,right
"(3, 19)",-inf,-22461257441.062927,1.2986112216011038e+288,-inf
"(3, 21)",-3271142874.2790284,1.4728614133926192e+275,-inf,-inf
"(3, 23)",-14358733.661342494,-inf,-inf,4.0413647776299536e+138
"(3, 24)",-inf,-inf,-17578361.318549145,2.7731938372027904e+139
"(3, 25)",-inf,-inf,-21935331.722460173,1.5027072435163355e+140
"(3, 26)",-inf,-inf,-25569768.45280882,6.5592952864544005e+140
"(3, 27)",2.356386179942218e+141,-inf,-27522993.429738324,-inf
"(3, 29)",-12429612.513550246,-inf,-inf,1.2463385268999175e+143
"(3, 30)",-inf,-inf,-9521094.096808787,1.3269706819179026e+143
"(3, 31)",1.182511536062037e+143,-inf,-6915860.712895188,1.0246958494381652e+134
"(3, 32)",-inf,-inf,1.6621881166514684e+142,-4229864.104226987
"(3, 33)",-inf,-inf,1.0231778407583464e+141,-inf
"(3, 35)",9.539167584489829e+141,-46718387.40984301,-inf,-inf
"(3, 37)",-44693238.83323311,-inf,-inf,7.037674693416065e+136
"(3, 38)",-inf,-inf,-48796705.97585198,3.835690791076297e+135
"(3, 39)",-inf,1.0774268505125331e+134,-53624441.6469213,-inf
"(3, 41)",-inf,9.803868504686016e+138,-inf,-33013606.098857906
"(3, 42)",-inf,-inf,1.9495829115952164e+139,-31205963.83470057
"(3, 43)",-27714923.86156327,-inf,3.820315078516471e+139,-inf
"(3, 45)",1.4236253502089363e+141,-14866229.254667113,-inf,-15022034.549493335
"(3, 46)",-inf,-inf,2.413315179965249e+141,-20229128.781264115
"(3, 47)",-25222256.43459882,-inf,4.0300248743428074e+141,-inf
"(3, 49)",-inf,-inf,-inf,3.485945167411726e+139
"(3, 50)",-inf,-inf,-12102754.240304371,3.2019393627012566e+141
"(3, 51)",1.4183852030976398e+143,-19214856.15245797,-19042235.85270688,-inf
"(3, 53)",-28911001.052048225,-28931850.640103187,-inf,4.761700268070005e+129
"(3, 54)",-inf,-inf,-41869091.59256862,5.098730782847081e+130
"(3, 55)",-inf,-inf,-59094563.66943294,4.9747410551913286e+131
"(3, 56)",-inf,-inf,-79624535.14452143,4.443917758326253e+132
"(3, 57)",3.664846248249286e+133,-inf,-102505070.8868045,-inf
"(3, 59)",-274662336.3832977,1.3695608053241676e+138,-inf,-inf
"(3, 61)",-inf,-inf,-inf,1.0092594686726662e+125
"(3, 62)",-inf,-inf,-27581588.213158853,1.223696817325174e+127
"(3, 63)",7.254926533300681e+128,-inf,-40374962.38855524,-inf
"(4, 1)",1.3571632851139912e+282,-380702294.50803816,-inf,-inf
"(4, 3)",1.3318948210820832e+288,-1710976101.182714,-inf,-inf
"(4, 9)",-1025578584.3725212,1.0280310468683303e+286,-inf,-inf
"(4, 11)",6.587576055352363e+286,-734778198.4313511,-inf,-inf
"(4, 13)",-1746994097.9810865,3.207984339997932e+288,-inf,-inf
"(4, 15)",5.0586615760443186e+289,-3532056379.419176,-inf,-inf
"(4, 17)",-15165094214.678118,1.4792710626256516e+289,-inf,-inf
"(4, 19)",5.0105459607019395e+287,1.1548804682235227e+183,-inf,-inf
"(4, 21)",-3261503318.192068,1.9525330728763183e+275,-inf,-inf
"(4, 35)",4.591067265229483e+142,-54501783.820716254,-inf,-inf
"(4, 39)",-61100018.30864956,1.3399342112604028e+133,-inf,-inf
"(4, 41)",-33125116.460547008,4.8579186704751866e+138,-inf,-inf
"(4, 45)",3.448791585896314e+139,-9179350.61801356,-inf,-inf
"(4, 51)",2.0365021795431557e+143,-25761867.4374498,-inf,-inf
"(4, 53)",2.410614407068361e+128,-25336868.840066448,-inf,-inf
"(4, 59)",-320140988.9188241,5.213724931018962e+138,-inf,-inf
"(5, 1)",5.866322364267364e+280,-278025097.88910455,-inf,-inf
"(5, 3)",1.581859277888978e+288,-1485763837.9974244,-inf,-inf
"(5, 5)",-inf,-inf,-inf,2.1972709892581048e+279
"(5, 6)",-inf,-inf,-185184764.1750934,2.0850230200980845e+281
"(5, 7)",-inf,-inf,-291110481.8676947,9.359737184098663e+282
"(5, 8)",-inf,-inf,-470466881.1052069,2.6767525043261984e+284
"(5, 9)",-790741018.7669741,5.572214907076423e+285,4.761923956444529e+244,-inf
"(5, 11)",1.958048896104657e+287,-inf,-inf,-934966262.3324344
"(5, 12)",-inf,-inf,5.364274815494672e+287,-1171259399.4328203
"(5, 13)",-1437866762.099219,-inf,1.3606867684340038e+288,-inf
"(5, 15)",8.625423496109898e+289,-4282403736.769372,-inf,-inf
"(5, 17)",-13000580284.268091,2.8978933599436927e+289,-inf,-inf
"(5, 19)",1.799359396329703e+287,-28994632850.291573,-inf,-inf
"(5, 21)",-3001540194.0177307,-inf,-inf,2.5561600417625446e+275
"(5, 22)",-inf,-inf,-2622367562.616616,3.310669782239134e+275
"(5, 23)",-inf,4.248298253848419e+275,-2209144722.646626,-inf
"(5, 25)",-inf,-2184943434.413648,-inf,1.2901238082349022e+257
"(5, 26)",-inf,-inf,9.685246985485298e+237,3.521717853176133e+256
"(5, 27)",-inf,-inf,-2777137215.653263,9.377955892804956e+255
"(5, 28)",-inf,-inf,-3028432671.804836,2.434779819134701e+255
"(5, 29)",-inf,-inf,-3166798871.159462,6.159829074240751e+254
"(5, 30)",-inf,-inf,-3018103382.8129454,1.5184051611600932e+254
"(5, 31)",-inf,-inf,-2714251860.4193044,3.6432625956018263e+253
"(5, 32)",-inf,-inf,-2359056670.369716,8.504692088523461e+252
"(5, 33)",-inf,1.9300253954626687e+252,-2048539848.8656807,-inf
"(5, 35)",2.600372150854521e+143,-59000196.26531339,-inf,-inf
"(5, 37)",-inf,2.694954349981707e+130,-inf,-81642738.97479105
"(5, 38)",-inf,-inf,2.1215734086488626e+131,-75446721.81084621
"(5, 39)",-66211309.7114188,-inf,1.6436039576131954e+132,-inf
"(5, 41)",-30425153.95115308,-30187186.86804704,-inf,2.371821741010917e+138
"(5, 42)",-inf,-inf,-39034162.806400254,1.1126626249542089e+138
"(5, 43)",-inf,5.143678950970547e+137,-47592469.96089529,-inf
"(5, 45)",4.069337388979181e+137,-inf,-inf,-inf
"(5, 47)",-inf,-177085825.79991975,-inf,2.505446740088191e+131
"(5, 48)",-inf,-inf,-194161744.2785732,8.799563972669566e+130
"(5, 49)",-inf,3.0445989926853127e+130,-206202169.5618736,-inf
"(5, 51)",2.879907779025424e+143,-34637790.58497194,-inf,-inf
"(5, 53)",1.008328985198282e+127,-inf,-inf,-21165724.174059417
"(5, 54)",-inf,-inf,3.3335434440833363e+125,-16797683.08317528
"(5, 55)",-inf,-inf,8.200218984100236e+123,-12667446.120111868
"(5, 56)",-inf,-inf,1.3418115234892701e+122,-8946018.28533476
"(5, 57)",-inf,-inf,1.063446620962634e+120,-inf
"(5, 59)",-381367536.4739408,1.906298213515018e+139,-inf,-inf
